ID;Name;Abk.;Region;Name (Abk.)
30785;SC Bremerhaven von 1997 e.V.;SCBR;BRE;SC Bremerhaven von 1997 e.V. (SCBR)
27019;Ukrainian Figure Skating Federation;UKR;GER;Ukrainian Figure Skating Federation (UKR)
30020;Eis- u. Rollsportverein Bergedorf e.V.;ERVBE;HAM;Eis- u. Rollsportverein Bergedorf e.V. (ERVBE)
48028;ERV Bergedorf;ERVBERG;HAM;ERV Bergedorf (ERVBERG)
24448;Hamburger Schlittschuh-Club 1881 e.V.;HSC;HAM;Hamburger Schlittschuh-Club 1881 e.V. (HSC)
42918;Hamburger Sportverein e.V.;HSV;HAM;Hamburger Sportverein e.V. (HSV)
40659;EC Lauterbach 2012 e.V.;ECL;HES;EC Lauterbach 2012 e.V. (ECL)
32092;Eis, Inline u. SC Wiesbaden 98 e.V.;EIS;HES;Eis, Inline u. SC Wiesbaden 98 e.V. (EIS)
41664;Eislaufclub Frankfurt e.V.;ECF;HES;Eislaufclub Frankfurt e.V. (ECF)
24441;Frankfurter REC e.V.;FREC;HES;Frankfurter REC e.V. (FREC)
